file1, file2
/home/oslab/input/4A/101036360.cpp,/home/oslab/input/4A/127473352.cpp
/home/oslab/input/4A/101036360.cpp,/home/oslab/input/4A/134841308.cpp
/home/oslab/input/4A/101036360.cpp,/home/oslab/input/4A/173077807.cpp
/home/oslab/input/4A/101036360.cpp,/home/oslab/input/4A/48762087.cpp
/home/oslab/input/4A/101036360.cpp,/home/oslab/input/4A/84822638.cpp
/home/oslab/input/4A/101036360.cpp,/home/oslab/input/4A/84822639.cpp
/home/oslab/input/4A/117364748.cpp,/home/oslab/input/4A/127473352.cpp
/home/oslab/input/4A/117364748.cpp,/home/oslab/input/4A/134841308.cpp
/home/oslab/input/4A/117364748.cpp,/home/oslab/input/4A/173077807.cpp
/home/oslab/input/4A/117364748.cpp,/home/oslab/input/4A/48762087.cpp
/home/oslab/input/4A/117364748.cpp,/home/oslab/input/4A/84822638.cpp
/home/oslab/input/4A/117364748.cpp,/home/oslab/input/4A/84822639.cpp
/home/oslab/input/4A/127473352.cpp,/home/oslab/input/4A/48762087.cpp
/home/oslab/input/4A/127473352.cpp,/home/oslab/input/4A/84822638.cpp
/home/oslab/input/4A/127473352.cpp,/home/oslab/input/4A/84822639.cpp
/home/oslab/input/4A/134841308.cpp,/home/oslab/input/4A/48762087.cpp
/home/oslab/input/4A/134841308.cpp,/home/oslab/input/4A/84822638.cpp
/home/oslab/input/4A/134841308.cpp,/home/oslab/input/4A/84822639.cpp
/home/oslab/input/4A/173077807.cpp,/home/oslab/input/4A/48762087.cpp
/home/oslab/input/4A/173077807.cpp,/home/oslab/input/4A/84822638.cpp
/home/oslab/input/4A/173077807.cpp,/home/oslab/input/4A/84822639.cpp
